Starting at 2016-03-01 17:27:23.231555...

	
Parameters:	
Limit Infrequent Events: False	
Limit Infrequent Pairs: False	
Prune KL-Divergence: False	
Window: 24	
Laplace Pseudocounts: 1	
P-value Threshold: 0.05	

Found:8 Checked:262 Candidates:3227  (AudatexReceipt ClaimActivityLog)
Found:8 Checked:263 Candidates:3226  (AudatexReceipt ClaimClosed)
Found:8 Checked:264 Candidates:3225  (AudatexReceipt ClaimEdited)
Found:8 Checked:265 Candidates:3224  (AudatexReceipt ClaimReopened)
Found:8 Checked:266 Candidates:3223  (AudatexReceipt ClaimReported)
Found:8 Checked:267 Candidates:3222  (AudatexReceipt ClaimSetup)
Found:8 Checked:268 Candidates:3221  (AudatexReceipt Contact)
Found:8 Checked:269 Candidates:3220  (AudatexReceipt COPSCarAsgSentCRP)
Found:8 Checked:270 Candidates:3219  (AudatexReceipt COPSCarAsgSentPDR)
Found:8 Checked:271 Candidates:3218  (AudatexReceipt Correspondencsent)
Found:8 Checked:272 Candidates:3217  (AudatexReceipt DocAddInProgress)
Found:8 Checked:273 Candidates:3216  (AudatexReceipt DocumentAdded)
Found:8 Checked:274 Candidates:3215  (AudatexReceipt FYISent)
Found:8 Checked:275 Candidates:3214  (AudatexReceipt grpPymtSubmit)
Found:8 Checked:276 Candidates:3213  (AudatexReceipt Inbound)
Found:8 Checked:277 Candidates:3212  (AudatexReceipt InitialContact)
Found:8 Checked:278 Candidates:3211  (AudatexReceipt IsoMatchRpt)
Found:8 Checked:279 Candidates:3210  (AudatexReceipt IsoNoMatchRpt)
Found:8 Checked:280 Candidates:3209  (AudatexReceipt LiabilityAnalysis)
Found:8 Checked:281 Candidates:3208  (AudatexReceipt makePaymentSubmit)
Found:8 Checked:282 Candidates:3207  (AudatexReceipt MultDocAddBegin)
Found:8 Checked:283 Candidates:3206  (AudatexReceipt MultipleDocAdded)
Found:8 Checked:284 Candidates:3205  (AudatexReceipt Outbound)
Found:8 Checked:285 Candidates:3204  (AudatexReceipt PartyAdded)
Found:8 Checked:286 Candidates:3203  (AudatexReceipt PartyEdited)
Found:8 Checked:287 Candidates:3202  (AudatexReceipt PerilActivity)
Found:8 Checked:288 Candidates:3201  (AudatexReceipt ReasonforEscalation)
Found:8 Checked:289 Candidates:3200  (AudatexReceipt ReceiptItem)
Found:8 Checked:290 Candidates:3199  (AudatexReceipt recordManualPymt)
Found:8 Checked:291 Candidates:3198  (AudatexReceipt RefCompPDVE)
Found:8 Checked:292 Candidates:3197  (AudatexReceipt Referral)
Found:8 Checked:293 Candidates:3196  (AudatexReceipt RefRemFromInbox)
Found:8 Checked:294 Candidates:3195  (AudatexReceipt RefRespPD)
Found:8 Checked:295 Candidates:3194  (AudatexReceipt RefRespPDVE)
Found:8 Checked:296 Candidates:3193  (AudatexReceipt RefSentPD)
Found:8 Checked:297 Candidates:3192  (AudatexReceipt RefSentPDVE)
Found:8 Checked:298 Candidates:3191  (AudatexReceipt Rental)
Found:8 Checked:299 Candidates:3190  (AudatexReceipt ReviewRemFromInbox)
Found:8 Checked:300 Candidates:3189  (AudatexReceipt RouteToInbox)
Found:8 Checked:301 Candidates:3188  (AudatexReceipt Subrogation)
Found:8 Checked:302 Candidates:3187  (AudatexReceipt SuspendedItem)
Found:8 Checked:303 Candidates:3186  (AudatexReceipt Suspense)
Found:8 Checked:304 Candidates:3185  (AudatexReceipt UnsuspendedItem)
Found:8 Checked:305 Candidates:3184  (AudatexReceipt Vehicle)
Found:8 Checked:306 Candidates:3183  (AudatexReceipt VehicleEdited)
Found:8 Checked:307 Candidates:3182  (ClaimActivityLog AssociatedToClaim)
Found:8 Checked:308 Candidates:3181  (ClaimActivityLog AssociatedToParty)
Found:8 Checked:309 Candidates:3180  (ClaimActivityLog AssReRouteQueue)
Found:8 Checked:310 Candidates:3179  (ClaimActivityLog AssRouteToOffice)
Found:8 Checked:311 Candidates:3178  (ClaimActivityLog AssToFileHandler)
Found:8 Checked:312 Candidates:3177  (ClaimActivityLog AudatexReceipt)
Found:8 Checked:313 Candidates:3176  (ClaimActivityLog ClaimActivityLog)
Found:8 Checked:314 Candidates:3175  (ClaimActivityLog ClaimClosed)
Found:8 Checked:315 Candidates:3174  (ClaimActivityLog ClaimEdited)
Found:8 Checked:316 Candidates:3173  (ClaimActivityLog ClaimReopened)
Found:8 Checked:317 Candidates:3172  (ClaimActivityLog ClaimReported)
Found:8 Checked:318 Candidates:3171  (ClaimActivityLog ClaimSetup)
Found:8 Checked:319 Candidates:3170  (ClaimActivityLog Contact)
Found:8 Checked:320 Candidates:3169  (ClaimActivityLog COPSCarAsgSentCRP)
Found:8 Checked:321 Candidates:3168  (ClaimActivityLog COPSCarAsgSentPDR)
Found:8 Checked:322 Candidates:3167  (ClaimActivityLog Correspondencsent)
Found:8 Checked:323 Candidates:3166  (ClaimActivityLog DocAddInProgress)
Found:8 Checked:324 Candidates:3165  (ClaimActivityLog DocumentAdded)
Found:8 Checked:325 Candidates:3164  (ClaimActivityLog FYISent)
Found:8 Checked:326 Candidates:3163  (ClaimActivityLog grpPymtSubmit)
Found:8 Checked:327 Candidates:3162  (ClaimActivityLog Inbound)
Found:8 Checked:328 Candidates:3161  (ClaimActivityLog InitialContact)
Found:8 Checked:329 Candidates:3160  (ClaimActivityLog IsoMatchRpt)
Found:8 Checked:330 Candidates:3159  (ClaimActivityLog IsoNoMatchRpt)
Found:8 Checked:331 Candidates:3158  (ClaimActivityLog LiabilityAnalysis)
